hs_code,hs_description
1514190000,"RAPESEED/COLZA OIL, NESOI, LOW ERUCIC ACID"
1514911000,RAPESEED COLZA/MUSTARD OIL CRUDE MFG RUBR SUBT ETC
1514919010,"RAPESEED/COLZA OIL & ITS FRACTIONS, CRUDE, NESOI"
1514919020,"MUSTARD SEED OIL AND ITS FRACTIONS, CRUDE, NESOI"
1514991000,RAPESEED COLZA/MUSTARD OIL REFINED MFG RUB SUB ETC
1514995010,"RAPESEED OR COLZA OIL & FRACTIONS NESOI, DENATURED"
1514995020,"MUSTARD SEED OIL & ITS FRACTIONS, NESOI, DENATURED"
1514999010,"RAPESEED/COLZA OIL, NESOI, EXECPT CRUDE/DENATURED"
1514999020,MUSTARD SEES OIL & FRACTIONS NESOI NOT DENATURED
1515110000,"LINSEED OIL, CRUDE, NOT CHEMICALLY MODIFIED"
1515190000,"LINSEED OIL, REFINED, NOT CHEMICALLY MODIFIED"
1515210000,"CORN (MAIZE) OIL, CRUDE, NOT CHEMICALLY MODIFIED"
1515290020,"CORN (MAIZE) OIL, ONCE-REFINED, NT CHEM MODIFIED"
1515290040,"CORN (MAIZE) OIL, FULLY REFINED, NT CHEM MODIFIED"
1515300000,CASTOR OIL/ITS FRACTIONS W/N REFINED NOT CHEM MODF
1515500000,SESAME OIL WHETHER/NOT REFINED NT CHEM MODIFIED
1515902100,NUT OILS
1515906000,JOJOBA OIL WHETHER OR NOT REFINED NT CHEM MODIFIED
1515908010,HEMP OIL NESOI WETHER/NT REFINED NT CHEM MODIFIED
1515908090,FIXED VEGETABLE FATS & OILS NESOI NT CHEM MODIFIED
1516100000,ANIMAL FATS AND OILS HYDROGENATED ETC NOT PREPARED
1516201000,RAPESEED OIL HYDROGENATED ETC BUT NT FURTHR PREPRD
1516209000,VEGETABLE FATS & OILS NESOI HYDROGENATED NT PREPAR
1517100000,"MARGARINE, EXCLUDING LIQUID MARGARINE"
1517901020,SALAD & COOKING OILS ARTFL MXTRS 5% GT SOYBEAN OIL
1517901040,BAKN/FRYN FAT ARTFL MXTRS ALL VEG OIL 5% GT SOYBN
1517901060,BAKN/FRYN FATS ARTFL MXTRS 5% GT SOYBEAN OIL NESOI
1517901080,ARTFL MXTRS EDIBLE FATS/OILS 5% GT SOYBN OIL NESOI
1517902020,SALAD & COOKING OILS ARTFL MXTRS LT 5% SOYBEAN OIL
1517902040,BAKN/FRYN FATS ARTFL MXTR ALL VEG OILS LT 5% SOYBN
1517902060,BAKN/FRYN FATS ARTFL MXTRS LT 5% SOYBEAN OIL NESOI
1517902080,ARTFL MXTRS EDIBLE FATS/OILS LT 5% SOYBN OIL NESOI
1517904500,DAIRY PRODUCTS DESCRIBED IN GENERAL NOTE 15
1517905000,DAIRY PRODUCTS DESCRIBED IN ADDTL US NOTE 10-CHAP4
1517906000,"DAIRY PRODUCTS IN ADDTL US NOTE 1 TO CHAP 4, NESOI"
1517909015,"SALAD & COOKING OIL PRTLY HYDROGENATD, NESOI"
1517909025,"SOYBEAN OIL, WHOLLY HYDROGENATED NESOI"
1517909085,"COTTONSEED OIL, WHOLLY HYDROGENTED, NESOI"
1517909090,"EDIBLE ANIMAL OR VEGETABLE FATS OR OILS, NESOI"
1518002000,INEDIBLE MXTRS/PREPS OF LINSEED/FLAXSEED OIL NESOI
1518004000,"ANIMAL & VEGETABLE FATS/OILS, CHEMICALLY MODIFIED"
1520000000,GLYCEROL (GLYCERINE) CRUDE
1521100020,"VEGETABLE WAXES, CANDELILLA"
1521100040,"VEGETABLE WAXES, CARNAUBA"
1521100060,VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES) NESOI
1521902000,"BEESWAX, BLEACHED"
1521904000,UNBLEACHED BEESWAX & OTH INSECT WAXES & SPERMACETI
1522000000,DEGRAS
1601002010,PORK SAUSG/SIMILAR PRODCTS FOOD PREP OF PORK CANND
1601002090,PORK SAUSG/SIMILR PRODCTS FOOD PREP OF THESE NESOI
1601004010,"BEEF SAUSAGES, SIMILAR PRODCTS, FOOD PREPS, CANNED"
1601004090,BEEF SAUSG/SIMILR PROD/FOOD PREP AIRTIT CNTR NESOI
1601006020,"BEEF SAUSAGE/SIMILAR PRDCTS, FOOD PREP, NOT CANNED"
1601006060,SAUSAGE/SIMILAR PRDCT MEAT ETC NESOI FOOD PREP CND
1601006080,SAUSAGE/SMLR PRDCT MEAT ETC NESOI FOOD PREP NT CND
1602101000,"OTR PREP MEAT/OFFAL/BLD,HMGZD,RETAIL INFANTS/DIET"
1602105060,"OTR PREP MEAT/OFFAL/BLD,HMGZD,RETAIL YOUNG CHILDRN"
1602105080,"OTR PREP MEAT/OFFAL/BLD,HMGZD,OTHER, NESOI"
1602202000,"GOOSE LIVER, PREPARED OR PRESERVED"
1602204000,"ANIMAL LIVERS EXCEPT GOOSE, PREPARED OR PRESERVED"
1602310020,PREPARED MEALS OF TURKEY
1602310040,TURKEY MEAT & OFFAL (EX LIVER) PREPARED/PRES NESOI
1602320010,PREPARD MEALS CHICKEN (0105 EX TURKEY) AIRTIT CNTR
1602320030,"PREPARED MEALS OF CHICKENS OF HEADNG 0105, NESOI"
1602320040,"PRPRD/PRSRVD OF CHICKENS (EXCL PRPRD MEALS), NESOI"
1602390015,PREPARED MEALS POULTRY OF HEADING 0105 AIRTIT CNTR
1602390035,"PREPARED MEALS POULTRY OF HEADNG 0105, NESOI"
1602390045,MEAT/OFFAL (EX LVR) POULTRY OF 0105 NESOI PRP/PRS
1602411000,"HAMS, CUTS CONTAINING CEREAL OR VEG, PREP OR PRES"
1602412020,"HAMS/CUTS, BONED/COOKED, AIRTIGHT CONTAINER LT 1KG"
1602412040,"HAMS/CUTS, BONED/COOKED AIRTIGHT CNTR 1 KG OR MORE"
1602419000,"HAMS AND CUTS THEREOF NESOI, PREPARED OR PRESERVED"
1602422020,"SHOULDER, CUTS, BONED/COOKED, AIRTIGHT CNTR LT 1KG"
1602422040,SHOULDER/CUT BONED/COOKED AIRTIGHT CNTR 1KG OR OV
1602424000,"SHOULDERS AND CUTS THEREOF NESOI, PREPARED, PRESVD"
1602491000,OFFAL OF SWINE (EX LIVER) PREPARED OR PRESERVED
1602492000,SWINE MEAT NESOI BONED/COOKED CND NO CEREAL OR VEG
1602494000,"SWINE MEAT NESOI, NO CEREAL OR VEGS, PREP OR PRES"
1602496000,"MIXTURES OF PORK AND BEEF, PREPARED OR PRESERVED"
1602499000,"MEAT OF SWINE NESOI, PREPARED OR PRESERVED"
1602500500,OFFAL OF BOVINE ANIMALS (EX LIVER) PREPARED/PRESRV
1602500720,CORNED BEEF NO CEREAL OR VEG AIRTITE CNTR LT 1KG
1602500740,"CORNED BEEF NO CEREAL OR VEG AIRTITE CNTR 1KG, OV"
1602500800,"OTR MEAT,BOVINE ANMLS CURED/PICKLED,NO CEREAL/VEGS"
1602502120,MT BOV ANML NESOI NO VEG PREP AIRTITE CNTR LT 1KG
1602502140,MEAT BOV ANML NESOI NO VEG PREP AIRTIT CNTR 1KG/OV
1602506000,"MEAT BOV ANML NESOI, NO CEREAL OR VEGS, PREP, PRES"
1602509020,PREP MEALS OF MEAT OF BOVINE ANMLS WITH CEREAL/VEG
1602509040,"MEAT OF BOVINE ANIMALS NESOI, PREPARED, PRESERVED"
1602901000,"FROG MEAT, PREPARED OR PRESERVED"
1602909160,"OTR PREP MEAT/OFFAL/BLD, OTR INC ANIMAL BLD CANNED"
1602909180,"OTR PREP MEAT/OFFAL/BLD, OTR INC ANIMAL BLD"
1603001000,CLAM JUICE
1603009010,EXTRACTS AND JUICES OF MEAT
1603009090,"EXTRACT/JUICE, FISH, CRUSTACEAN, MOLLUSC ETC NESOI"
1604112020,PINK (HUMPIE)SALMN WHOLE/PIECES IN OIL/AIRTIT CNTR
1604112030,SOCKEYE SALMON WHOLE/PIECES IN OIL/AIRTIGHT CONTNR
1604112090,SALMON NESOI WHOLE/PIECES IN OIL IN AIRTIGHT CONTR
1604114010,"CHUM (DOG) SALMON, NOT IN OIL, CANNED"
1604114020,"PINK (HUMPIE) SALMON, NOT IN OIL, CANNED"
1604114030,"SOCKEYE SALMON, NOT IN OIL, CANNED"
1604114040,"SALMON, NESOI, NOT IN OIL, CANNED"
1604114050,"SALMON, WHOLE OR IN PIECES, BUT NOT MINCED, NESOI"
1604122000,"HERRINGS, IN OIL, IN AIRTIGHT CONTAINERS"
1604124000,HERRINGS IN TOMATO SAUCE SMKD KIPPRD CNTR OV .45KG
1604126010,"HERRINGS FILLETS, PICKLED"
1604126030,"HERRINGS EXCEPT FILLETS, PICKLED"
1604126050,"HERRINGS, KIPPER SNACKS"
1604126090,"HERRINGS NESOI, PREPARED OR PRESERVED"
1604131000,"SMK SARDINES IN OIL CND, $1 TIN-PLATE/$1.10 OTHER"
1604132000,SARDINES ETC NOT SKINND/BONED IN OIL AIRTITE CNTRS
1604133000,"SARDINES ETC SKINNED/BONED, IN OIL, AIRTIGHT CNTRS"
1604134000,"SARDINES ETC NESOI, IN CONTAINERS UNDER 225 GRAMS"
1604139000,"SARDINES, ETC NESOI, PREPARED OR PRESERVED"
1604141010,"TUNAS&SKIPJACK,IN OIL,IN FOIL,AIRTIGHT,<THAN 6.8KG"
1604141091,"TUNAS,ALBACORE, IN OIL,IN AIRTIGHT CONTAINER,NESOI"
1604141099,"TUNAS&SKIPJACK, IN OIL,IN AIRTIGHT CONTAINER,NESOI"
1604142251,"ALBACORE TUNA,NO OIL,IN FOIL,AIRTIGHT,<6.8KG,QUOTA"
1604142259,"ALBACORE TUNA, NO OIL,AIRTIGHT CNTNR,NESOI,QUOTA"
1604142291,"TUNA,NESOI, NO OIL,IN FOIL,AIRTIGHT,<6.8KG, QUOTA"
1604142299,"TUNA,NESOI,NO OIL,OTHER AIRTIGHT CNTR <7KG QUOTA"
1604143051,"ALBACORE TUNA,N/OIL,IN FOIL,AIRTIGHT CNTNR <6.8KG"
1604143059,"TUNA,ALBACORE,NOT IN OIL,AIRTIGHT CONTAINER,NESOI"
1604143091,"TUNAS,NESOI,N/OIL,IN FOIL AIRTIGHT CNTR <6.8KG"
1604143099,"OTHER TUNAS/SKIPJACK,N/OIL,AIRTIGHT CONTAINER,NESO"
1604144000,"TUNAS/SKIPJACK NO OIL, NO AIRTITE CNTR, OVER 6.8KG"
1604145000,"TUNAS/SKIPJACK NOT AIRTITE CNTR PREP/PRES, NESOI"
1604147000,"BONITO (SARDA SPP.) PREPARED OR PRESERVED, IN OIL"
1604148000,"BONITO (SARDA SPP.) PREPARED/PRESERVED, NOT IN OIL"
1604150000,"MACKEREL, PREPARED OR PRESERVED"
1604162000,"ANCHOVIES, IN OIL, IN AIRTIGHT CONTAINERS"
1604164000,ANCHOVIES PREP/PRES NESOI CONTAINERS 6.8KG OR LESS
1604166000,"ANCHOVIES, PREPARED OR PRESERVED, NESOI"
1604171000,"EELS, IN AIRTIGHT CONTAINERS"
1604174000,"EEL FISH STICKS ETC BREADED/CTED, NOT COOK,NO OIL"
1604175000,"EEL STICKS, FILLETS ETC, BREADED/COATED ETC NESOI"
1604176000,"EELS NT MINCED, IN OIL, BULK CNTRS OV 7KG EA"
1604178000,"EELS WHOLE/PIECES NT MINCED, PREPARED/PRESRV, NES"
1604181000,"SHARK FINS, NOT IN OIL, IN AIRTIGHT CONTAINERS"
1604189000,"FISH WHOLE/PIECES NT MINCED,SHARK FINS,OTHER NESOI"
1604191000,"BONITO, YELLOWTAIL, POLLOCK NO OIL, AIRTIGHT CNTRS"
1604192200,"FISH, NOT IN OIL, IN AIRTIGHT CONTAINERS, NESOI"
1604192500,"BONITO, YELLOWTAIL, POLLOCK IN OIL, AIRTIGHT CNTRS"
1604193200,"FISH, IN OIL, IN AIRTIGHT CONTAINERS, NESOI"
1604194100,"FISH STICKS ETC BREADED, NOT COOKED, NO OIL, NESOI"
1604195100,"FISH STICKS, FILLETS ETC, BREADED/COATED ETC NESOI"
1604196100,"FISH NT MINCED, IN OIL, BULK CNTRS OV 7KG EA,NESOI"
1604198200,"FISH WHOLE/PIECES NT MINCED, PREPARED/PRESRV NESOI"
1604200510,PREPARED MEALS CONTAINING CRUSTACEAN/MOLLUSCS/ETC
1604200590,PRODUCTS CONTNG MEAT OF CRUSTACEANS/MOLLUSCS ETC
1604201000,FISH PASTES
1604201500,"FISH BALLS, CAKES AND PUDDINGS, IN OIL"
1604202000,FISH BALLS/CAKES ETC NO OIL AIRTIGHT CNTR NOV6.8KG
1604202500,"FISH BALLS, CAKES, PUDDINGS NO OIL NOV 6.8KG NESOI"
1604203000,"FISH BALLS, CAKES AND PUDDINGS, NESOI"
1604204000,FISH STICKS ETC MINCED FISH BREADED/ETC NT CKD/OIL
1604205010,FISH STICKS/MINCED FISH PROD BREADED PRECOOKD FRZN
1604205090,FISH STICKS/MINCED FISH PRODUCT BREADED ETC NESOI
1604206010,"FISH PREPARD OR PRESERVD, NESOI, PRE-COOKED & FRZN"
1604206090,"FISH PREPARED OR PRESERVED, NESOI"
1604310000,CAVIAR (PREPARED FROM THE ROE OF STURGEON)
1604323000,"CAVIAR SUBSTITUTES, BOILED, IN AIRTIGHT CONTAINERS"
1604324000,"CAVIAR SUBSTITUTES, NESOI"
1605100510,CRAB PRODS CONTG FISH MEAT/PREP MEALS AIRTIGHT CNT
1605100590,CRAB PRODTS CONTAING FISH MEAT/PREPARD MEALS NESOI
1605102010,"KING CRABMEAT, PREPARED, IN AIRTIGHT CONTAINERS"
1605102022,"C. OPILIO (SMALL) SNOW CRAB, PREP, AIRTIGHT CNTRS"
1605102025,"SNOW CRABMEAT, PREP, NESOI, IN AIRTIGHT CONTAINERS"
1605102030,"DUNGENESS CRABMEAT, PREP, IN AIRTIGHT CONTAINERS"
1605102051,"CALLINECTES CRABMEAT, IN AIRTIGHT CONTAINERS"
1605102059,"SWIMMING CRABMEAT, IN AIRTIGHT CONTAINERS, NESOI"
1605102090,"CRABMEAT, PREPARED, IN AIRTIGHT CONTAIN, NESOI"
1605104002,"KING CRABMEAT, PREPARED, FROZEN"
1605104005,"SNOW CRABMEAT, C. OPILIO (SMALL), PREP, FROZEN"
1605104010,"SNOW CRABMEAT, NESOI, PREPARED, FROZEN"
1605104015,"DUNGENESS CRABMEAT, PREPARED, FROZEN"
1605104025,"CALLINECTES CRABMEAT FROZEN, INCL. BLUE CRAB"
1605104030,"SWIMMING CRABMEAT(PORTUNIDAE), FROZEN, NESOI"
1605104035,"CRABMEAT, PREPARED/PRESERVED, FROZEN, NESOI"
1605104040,"CRABMEAT, PREPARED OR PRESERVED, NESOI"
1605106010,CRABS PREPARD/PRESERVD NESOI IN AIRTIGHT CONTAINER
1605106090,"CRABS PREPARED OR PRESERVED, NESOI"
1605210500,"SHRIMP,PRODS W/ FISH MEAT"
1605211020,"SHRIMPS AND PRAWNS, BREADED, FROZEN"
1605211030,"SHRIMPS AND PRAWNS, PREPARED NESOI, FROZEN"
1605211050,"SHRIMPS & PRAWNS, PREPD/PRESERV,NOT AIR TIGHT,NES"
1605290500,"SHRIMP, PRAWN PRODUCTS W/ FISH MEAT"
1605291010,"SHRIMPS AND PRAWNS, FROZEN, IN AIRTIGHT CONTAINERS"
1605291040,"SHRIMPS & PRAWNS, PREPD/PRESERV,IN AIR TIGHT,NES"
1605300510,LOBSTER PRODTS WTH FISH MEAT/PREP MEAL AIRTIT CNTR
1605300590,LOBSTER PRODUCTS WTH FISH MEAT/PREPARD MEALS NESOI
1605301010,"LOBSTER MEAT COOKD BY WATER & OUT OF SHELL, FROZEN"
1605301030,LOBSTER MEAT COOKD BY WATER & OUT OF SHELL NT FRZN
1605301050,"LOBSTER PREP/PRESERVD NESOI, IN AIRTIGHT CONTAINER"
1605301090,"LOBSTER PREPARED OR PRESERVED, NESOI"
1605400500,CRUSTACEANS NESOI PRODUCT WITH FISH MEAT PREP MEAL
1605401010,"CRUSTACEANS, PEELED FRESHWATER CRAWFISH TAIL MEAT"
1605401090,"CRUSTACEANS,OTHR THN PEELED FRSHWTR CRAWFISH TAILS"
1605510500,OYSTER PRODUCTS WITH FISH MEAT
1605514000,"OYSTERS, SMOKED"
1605515000,"OYSTERS EXCEPT SMOKED, PREPARED OR PRESERVED"
1605520500,SCALLOP PRODUCTS WITH FISH MEAT
1605526000,"SCALLOPS, PREPARED OR PRESERVED"
1605530500,MUSSEL PRODUCTS WITH FISH MEAT
1605536000,"MUSSELS, PREPARED OR PRESERVED, NESOI"
1605540500,CUTTLE FISH & SQUID PRODCTS W/FISH MEAT
1605546010,"CUTTLE FISH, PREPARED OR PRESERVED, NESOI"
1605546020,"LOLIGO SQUID, PREPARED OR PRESERVED"
1605546030,"SQUID EXCEPT LOLIGO, PREPARED OR PRESERVED"
1605550500,OCTOPUS PRODUCTS WITH FISH MEAT
1605556000,"OCTOPUS, PREPARED OR PRESERVED, NESOI"
1605560500,"CLAM, COCKLE,ETC,PRODUCTS W/ FISH MEAT"
1605561000,RAZOR CLAMS IN AIRTIGHT CONTAINERS
1605561500,CLAMS BOILED WHOLE/CHOPPED/SALTED NOV 680GRAMS GW
1605562000,"CLAMS IN AIRTIGHT CONTAINERS, NESOI"
1605563000,"CLAMS, PREPARED OR PRESERVED, NESOI"
1605566000,"COCKLES & ARKSHELLS, PREPARED OR PRESERVED, NESOI"
1605570500,ABALONE PRODUCTS WITH FISH MEAT
1605576000,"ABALONE (HALIOTIS SPP.), PREPARED OR PRESERVED"
1605580500,SNAIL PRODUCTS WITH FISH MEAT
1605585500,"SNAILS, OTHER THAN SEA SNAILS, PREPARED, PRESERVED"
1605590500,MOLLUSCS PRODUCTS WITH FISH MEAT
1605596000,"MOLLUSCS, PREPARED OR PRESERVED, NESOI"
1605610000,"SEA CUCUMBERS, PREPARED RO PRESERVED"
1605620000,"SEA URCHINS, PREPARED RO PRESERVED"
1605630000,"JELLYFISH, PREPARED RO PRESERVED"
1605690000,"AQUATIC INVERTEBRATES, PREPARED RO PRESERVED,NESOI"
1701120500,"BEET SUGAR RAW NO ADDED FLVR/COLR, GENERAL NOTE 15"
1701121000,"BEET SUGAR RAW NO ADDED FLVR/COLR, ADDTL US NOTE 5"
1701125000,"BEET SUGAR RAW NO ADDED FLAVOR/COLOR, NESOI"
1701130500,"CANE SUGAR RAW N/FLAVOR/COLOR NESOI,GENERAL NTE 15"
1701131000,"CANE SUGAR RAW NO FLAVOR,SUB NOTE 2,ADDTL US NTE 5"
1701132000,"CANE SUG RAW NOTE2,POLYHYDRIC ALCOL/REFINE RE-EXP,"
1701135000,"CANE SUGAR,RAW, NO FLVOR/COLOR, SUBHD NOTE 2, NES"
1701140500,"CANE SUGAR RAW N/FLAVOR/COLOR,GENERAL NTE 15, NES"
1701141020,"ORGNIC CANE SUGAR RAW N/FLAVR/COLOR,ADDTL US NTE 5"
1701141040,"CANE SUGAR RAW N/FLAVOR/COLOR,ADDTL US NTE 5, NESO"
1701142000,CANE SUGAR RAW FR/POLYHYDRIC ALCOHOL/REFINE RE-EXP
1701145000,"CANE SUGAR,RAW, NO ADDED FLVORING/COLORING, NESOI"
1701910500,"CANE/BEET SUGAR REFINED COLORNG/NO FLAVOR, NOTE 15"
1701911000,"CANE/BET SUGR REFND COLRNG/NO FLAVR,ADDTL US NTE 5"
1701913000,"CANE/BEET SUGAR REFINED COLORING/NO FLAVOR, NESOI"
1701914200,"CNE/BET SUG REF SLD FLV/CLR,GT 65% SUGR,IN NOTE 15"
1701914400,"CNE/BET SUG REF SLD FLV/CLR,GT 65% SUGR,ADD NOTE 7"
1701914800,"CANE/BEET SUG REF SLD FLV/CLR,GT 65% SUGR, NESOI"
1701915200,"CNE/BET SUG REF SLD FLV/CLR,GT 10% SUGR,IN NOTE 15"
1701915400,"CNE/BET SUG REF SLD FLV/CLR,GT 10% SUGR,ADD NOTE 8"
1701915800,"CANE/BEET SUG REF SLD FLV/CLR, GT 10% SUGR, NESOI"
1701918000,CANE/BEET SUG REFINED SOLID CONTNG FLV/CLR NESOI
1701990500,"CANE/BEET SUG/SUCROSE, SOLID,NESOI,GENERAL NOTE 15"
1701991015,"SPCL CANE/BEET SUG/SUCR, SOLID, ADDTL USN 5 ORGANC"
1701991017,"SPCL CANE/BEET SUG/SUCR, SOLID, ADDTL USN 5 NESOI"
1701991025,SUGAR NOT FOR FURTHER PROCESSING ADD US NT 5 NESOI
1701991050,CANE/BEET SUGARS & SUCROSE SOLID ADD US NT 5 NESOI
1701995015,"ORGNC SPCL CANE/BEET SUG/SUCR, REFINED NO FLAV/COL"
1701995017,"SPCL CANE/BEET SUG/SUCR, REFINED NO FLAV/COL NESOI"
1701995025,SUGAR NOT FOR FURTHER PROCESSING NESOI
1701995050,CANE/BEET SUGARS AND CHEM PURE SUCROSE SOLID NESOI
1702110000,LACTOSE & LACTOSE SYRUP CONT 99% MORE LACTSE BY WT
1702190000,"LACTOSE IN SOLID FORM AND LACTOSE SYRUP, NESOI"
1702202210,"MAPLE SUGAR,BLENDED SYRUP,DESCRB IN GENERAL NTE 15"
1702202290,"MAPLE SYRUP, BLENDED, DESCRIBED IN GENERAL NOTE 15"
1702202410,"MAPLE SUGAR, BLENDED, DESCRIBED IN ADDTL U S NTE 9"
1702202490,"MAPLE SYRUP, BLENDED, DESCRIBED IN ADDTL U S NTE 9"
1702202810,"MAPLE SUGAR, BLENDED SYRUP (CHAP 17-NOTE 4), NESOI"
1702202890,"MAPLE SYRUP, BLENDED (CHAP 17- NOTE 4), NESOI"
1702204010,"MAPLE SUGAR, NESOI"
1702204090,"MAPLE SYRUP, NESOI"
1702302200,"GLUCOSE/SYRUP,BLENDED,DESCRIBED IN GENERAL NOTE 15"
1702302400,"GLUCOSE/SYRUP BLENDED,DESCRIBED IN ADDTL U S NTE 9"
1702302800,"GLUCOSE/SYRUP, CONTN LT 20% FRUCTSE BLENDED, NESOI"
1702304040,"GLUCOSE SYRUP LT 20% FRUCTOSE, NESOI, QUOTA"
1702304080,"GLUCOSE, SOLID, LT 20% FRUCTOSE, NESOI, QUOTA"
1702402200,"BLENDED SYRUP,20%-50% FRUCTOSE,SEE GENERAL NOTE 15"
1702402400,"BLENDED SYRUP,20%-50% FRUCTOSE,SEE ADDTL US NOTE 9"
1702402800,"BLENDED SYRUP,ADD US NOTE 4,20%-50% FRUCTOSE,NESOI"
1702404000,"GLUCOSE/GLUCOSE SYRUP,CONT 20%-50% FRUCTOSE, NESOI"
1702500000,CHEMICALLY PURE FRUCTOSE IN SOLID FORM
1702602200,"FRCTOSE/SYRUP GT 50% FRCTOS/BLENDED,GENERAL NOT 15"
1702602400,"FRCTOSE/SYRUP GT 50% FRCTOS/BLENDED,ADDTL US NTE 9"
1702602800,"FRCTOSE/SYRUP GT 50% FRCTOSE,BLENDED, NESOI"
1702604020,"FRCTOSE/FRCTOSE SYRUP GT 50% FRCTOSE, NESOI, SYRUP"
1702604090,"FRCTOSE/FRCTOSE SYRUP GT 50% FRCTOSE, NESOI"
1702900500,"SUGRS/SYRUP,CONTN 6% LT NON-SUG SOLID,GEN NTE 15"
1702901000,"SUGRS/SYRUP,CONTN 6% LT NON-SUG SOLID, ADDTL NOT 5"
1702902000,"SUGRS/SYRUP,CONTN 6% LT NON-SUG SOLID, NESOI"
1702903500,INVERT MOLASSES DERIVED FROM SUGAR CANE/SUGAR BEET
1702904000,"SUGAR, SUGAR SYRUP, FROM SUGAR CANE/BEET, NESOI"
1702905200,"SUGRS/SUG SYRP/MALTOSE/CARML/ETC,IN GENERAL NTE 15"
1702905400,"BLENDED SYRUPS(ADDTL NOTE 4), SEE ADDTL U S NOTE 9"
1702905800,BLENDED SYRUPS SEE ADDTL U S NOTE 4(CHAP 17) NESOI
1702906400,"SUGRS/SUG SYRUP/MALTSE GT 65% SUGAR,ADDTL US NTE 7"
1702906800,"SUGRS/SUG SYRUP/MALTOSE GT 65% SUGAR, NESOI"
1702909000,SUGARS/SUG SYRUPS/MALTOSE/ARTF HONEY/CARAMEL NESOI
1703103000,CANE MOLASSES FOR COMM EXTRACTION OF SUGAR/EDIBLE
1703105000,"CANE MOLASSES, SUBJECT TO QUOTA, NESOI"
1703903000,MOLASSES FROM EXTRCTN/REFNG SUGAR NESOI COMMERICAL
1703905000,"MOLASSES FROM EXTRACTION/REFINING OF SUGAR, NESOI"
1704100000,"CHEWING GUM, WHETHER OR NOT SUGAR COATED"
1704901000,CANDIED NUTS READY FOR CONSUMPTION
1704902500,COUGH DROPS
1704903520,"CONFEC. FOR CONSMPTION, CONTN PEANUTS, RETAIL SALE"
1704903550,"CONFECTION READY FOR CONSUMPTION,NESOI,RETAIL SALE"
1704903590,"CONFECTIONS READY FOR CONSUMPTION,NESOI,NOT RETAIL"
1704905200,"SUGR CONFECTNRY NO COCOA,NESOI,SEE GENERAL NOTE 15"
1704905400,"SUGAR CONFECTIONERY,DAIRY PRODUCT,ADDTL U S NTE 10"
1704905800,"SUGAR CONFECTIONERY,DAIRY PRODUCT,NESOI"
1704906400,"SUGAR CONFCTNRY,NESOI,GT 65% SUGAR,ADDTL US NOTE 7"
1704906800,"SUGAR CONFCTNRY,NESOI,CONTNG GT 65% SUGAR,NESOI"
1704907400,"SUGAR CONFCTNRY,NESOI,GT 10% SUGAR,ADDTL US NOTE 8"
1704907800,"SUGAR CONFCTNRY,NESOI,CONTNG GT 10% SUGAR, NESOI"
1704909000,SUGR CONFECTNRY NT CNTG COCOA NT RETAIL SALE NESOI
1801000000,"COCOA BEANS, WHOLE OR BROKEN, RAW OR ROASTED"
1802000000,"COCOA SHELLS, HUSKS, SKINS AND OTHER COCOA WASTE"
1803100000,"COCOA PASTE, NOT DEFATTED"
1803200000,"COCOA PASTE, WHOLLY OR PARTLY DEFATTED"
1804000000,"COCOA BUTTER, FAT AND OIL"
1805000000,"COCOA POWDER, NOT SWEETENED"
1806100500,GEN NOT 15 COCOA POWDR SWTN CNT LT 65% SUGAR BY WT
1806101000,ADDTL NOTE 1 COCOA SWTN CNTN LT 65% SUGAR BY WT
1806101500,COCOA SWTND CNTN LT 65% BY DRY WT OF SUGAR NESOI
1806102200,GEN NOTE 15 COCOA SWTN GT 65% LT 90% BY WT SUGAR
1806102400,ADDL NOTE 7 COCOA SWTN GT 65% LT 90%BY DRY WT SUGR
1806102800,COCOA SWTN GT 65% SUGR ADDTL NOTE 2-CHAP17 NESOI
1806103400,ADDTL NOTE 1 COCOA SWTN GT 65% LT 90% DRY WT SUGR
1806103800,COCOA PWDR SWTN OV 65% BT LSS THAN 90% SUGAR NESOI
1806104300,GEN NOTE 15 COCOA PWDR SWTD CNT GT 90% DRY WT SUGR
1806104500,ADDTL NOTE 7-CH 17 COCOA PWDR SWTD CONT GT 90% SUG
1806105500,ADDTL NOTE 2-CH17 COCOA PWDR SWTD GT 90% SUG NESOI
1806106500,ADDTL NOTE 1 COCOA POWDER SWEETEND CONT 90%OR MORE
1806107500,COCOA POWDER SWEETEND CONT 90% OR MORE SUGAR NESOI
1806202010,CHOC BLOCK/SLAB 4.5KG/MORE EA NO BUTRFT/MILK SOLID
1806202090,CHOC BLCK/SLAB GT 4.5 KG EA CNTG BUTRFT/MILK SOLID
1806202200,GEN NOTE 15 CHOCOLATE BULK FORM NESOI CNTN BTRFAT
1806202400,ADDTL NOTE2 CHOCLT BULK FORM NESOI GT 5.5% BTTRFAT
1806202600,"CHOC BLK FRM NESOI GT 5.5% BUTTRFAT,LT 21%MLK SLID"
1806202800,CHOCOLATE BULK FORM NESOI OVER 5.5% BUTTRFAT NESOI
1806203400,ADDTL NOTE 3 CHOCOLATE BULK NESOI NOV 5.5% BTTRFAT
1806203600,CHOC BULK FORM NESOI GT 5.5% BTRFT LT 21% MLK SLDS
1806203800,CHOCOLATE BULK FORM NESOI NOV 5.5% BUTTRFAT NESOI
